ask_price,ask_whole_lot_volume,ask_lot_volume,bid_price,bid_whole_lot_volume,bit_lot_volume,close_price,close_volume
37308.20000,2,2.000,37308.10000,1,1.000,37340.00000,0.00072217
37308.20000,2,2.000,37308.10000,1,1.000,37340.00000,0.00072217
37308.20000,5,5.000,37308.10000,1,1.000,37308.20000,0.03541282
37308.20000,4,4.000,37308.10000,1,1.000,37308.20000,0.03541282
37308.20000,6,6.000,37308.10000,1,1.000,37308.20000,0.03554838
37308.20000,8,8.000,37308.10000,1,1.000,37308.20000,0.01000000
37308.20000,8,8.000,37308.10000,1,1.000,37308.20000,0.01000000
37308.20000,10,10.000,37308.10000,1,1.000,37308.20000,0.00432131
37308.20000,10,10.000,37308.10000,1,1.000,37308.20000,0.00432131
37300.10000,7,7.000,37300.00000,1,1.000,37308.10000,0.00000001
37308.20000,10,10.000,37308.10000,1,1.000,37308.20000,0.00432131
37300.10000,6,6.000,37300.00000,1,1.000,37308.10000,0.00000001
37300.10000,6,6.000,37300.00000,1,1.000,37308.10000,0.00000001
37300.10000,5,5.000,37300.00000,1,1.000,37300.10000,0.10059544
37300.10000,4,4.000,37300.00000,1,1.000,37300.10000,0.10059544
37300.10000,3,3.000,37300.00000,1,1.000,37300.00000,0.01569067
37296.60000,2,2.000,37296.50000,1,1.000,37296.50000,0.48501542
37296.60000,7,7.000,37296.50000,1,1.000,37296.50000,0.48501542
37296.60000,5,5.000,37296.50000,1,1.000,37296.60000,0.11711125
37296.50000,1,1.000,37296.40000,1,1.000,37296.00000,0.25000000
37296.50000,1,1.000,37296.40000,1,1.000,37296.00000,0.25000000
37296.50000,1,1.000,37296.40000,2,2.000,37296.00000,0.25000000
37296.50000,1,1.000,37296.40000,4,4.000,37296.00000,0.25000000
37320.20000,1,1.000,37320.10000,3,3.000,37314.20000,0.04000000
37320.30000,1,1.000,37320.10000,6,6.000,37320.20000,0.00320000
37355.30000,1,1.000,37326.30000,1,1.000,37320.30000,0.00320000
37333.80000,1,1.000,37319.80000,1,1.000,37328.00000,0.00000192
37332.90000,1,1.000,37330.00000,1,1.000,37328.00000,0.00000192
37342.70000,1,1.000,37336.90000,2,2.000,37328.00000,0.00000192
37348.90000,1,1.000,37337.10000,1,1.000,37328.00000,0.00000192
37347.40000,1,1.000,37337.10000,1,1.000,37328.00000,0.00000192
37341.70000,1,1.000,37335.50000,1,1.000,37328.00000,0.00000192
37341.70000,1,1.000,37335.50000,1,1.000,37328.00000,0.00000192
37340.60000,1,1.000,37327.90000,1,1.000,37328.00000,0.00000192
37331.50000,1,1.000,37330.40000,1,1.000,37333.90000,0.04017451
37334.10000,1,1.000,37331.10000,1,1.000,37333.90000,0.04017451
37351.60000,1,1.000,37349.30000,1,1.000,37333.90000,0.04017451
37349.40000,2,2.000,37349.30000,1,1.000,37333.90000,0.04017451
37349.40000,6,6.000,37349.30000,1,1.000,37333.90000,0.04017451
37349.40000,3,3.000,37349.30000,1,1.000,37349.30000,0.00053000
37349.40000,3,3.000,37349.30000,1,1.000,37349.30000,0.00000012
37349.40000,3,3.000,37349.30000,1,1.000,37349.30000,0.00000012
